,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
312,KG케미칼,2016,"1,263,528,834","72,656,424","160,749,95795,980,280"
313,KG케미칼,2017,"1,480,673,142","76,246,324","211,244,75789,848,343"
314,KG케미칼,2018,"1,508,599,076","72,464,667","215,475,64291,547,523"
315,KIB플러그에너지,2010,"250,046,713","10,379,979","49,015,02427,122,057"
316,KIB플러그에너지,2011,"279,382,747","-27,039,217","81,211,92022,747,821"
317,KIB플러그에너지,2012,"262,270,166","20,085,129","89,118,35114,564,329"
318,KIB플러그에너지,2013,"262,833,068","16,472,376","70,756,46211,085,000"
319,KIB플러그에너지,2014,"295,677,320","5,012,604","94,213,2890"
320,KIB플러그에너지,2015,"276,443,469","-12,343,696","98,218,0008,085,000"
321,KIB플러그에너지,2016,"235,945,208","-11,504,645","37,425,33325,500,000"
322,KIB플러그에너지,2017,"204,688,025","6,738,189","30,676,0004,800,000"
323,KIB플러그에너지,2018,"197,265,760","-9,743,899","46,400,0000"
324,KISCO홀딩스,2010,"910,859,280","21,384,052","20,409,2800"
325,KISCO홀딩스,2011,"779,731,867","39,280,767","24,525,6070"
326,KISCO홀딩스,2012,"1,398,716,024","35,144,081","36,890,7980"
327,KISCO홀딩스,2013,"1,377,429,174","7,286,624","10,342,4260"
328,KISCO홀딩스,2014,"1,379,712,311","6,826,547","15,394,9830"
329,KISCO홀딩스,2015,"1,407,103,545","90,358,160","1,270,1230"
330,KISCO홀딩스,2016,"1,493,955,210","87,056,280","3,285,0350"
331,KISCO홀딩스,2017,"1,488,800,280","97,354,947","4,709,9660"
332,KISCO홀딩스,2018,"1,545,159,970","65,722,919","5,740,9850"
333,KPX케미칼,2010,"359,679,168","58,618,043","32,319,2880"
334,KPX케미칼,2011,"444,989,970","65,617,885","36,604,7660"
335,KPX케미칼,2012,"450,374,133","47,332,566","35,828,7490"
336,KPX케미칼,2013,"471,662,716","33,452,495","47,384,7930"
337,KPX케미칼,2014,"512,061,535","45,145,447","52,159,9320"
338,KPX케미칼,2015,"507,600,643","48,839,739","41,200,9680"
339,KPX케미칼,2016,"531,964,308","44,285,687","27,478,7314,158,240"
340,KPX케미칼,2017,"548,114,232","29,975,308","24,240,0860"
341,KPX케미칼,2018,"535,273,094","23,850,344","21,963,4801,953,120"
342,KPX홀딩스,2010,"1,020,276,684","109,582,013","63,335,0492,841,680"
343,KPX홀딩스,2011,"1,133,171,774","59,538,222","100,301,08432,693,520"
344,KPX홀딩스,2012,"1,224,858,574","57,698,742","109,078,74934,265,600"
345,KPX홀딩스,2013,"1,180,182,446","48,272,353","99,194,79338,214,540"
346,KPX홀딩스,2014,"1,154,028,780","61,197,475","95,019,93247,830,000"
347,KPX홀딩스,2015,"1,171,162,837","61,532,342","108,351,0640"
348,KPX홀딩스,2016,"1,209,888,939","52,249,903","147,477,9404,158,240"
349,KPX홀딩스,2017,"1,512,487,171","36,439,698","92,911,0244,144,472"
350,KPX홀딩스,2018,"1,416,576,552","33,836,040","118,003,2806,242,184"
351,KR모터스,2010,"144,696,998","4,247,620","15,000,0000"
352,KR모터스,2011,"133,337,774","2,493,135","10,304,7250"
353,KR모터스,2012,"119,327,267","-6,198,743","10,401,6630"
354,KR모터스,2013,"116,931,646","-3,486,600","10,600,0030"
355,KR모터스,2014,"136,844,164","-11,468,486","18,030,8066,000,000"
356,KR모터스,2015,"157,559,972","-16,055,655","17,732,5980"
357,KR모터스,2016,"148,873,916","-8,141,613","23,109,1670"
358,KR모터스,2017,"108,443,184","-26,031,633","17,059,0910"
359,KR모터스,2018,"154,901,067","-16,257,023","1,587,7028,441,655"
360,KSS해운,2010,"258,124,323","21,188,729",00
361,KSS해운,2011,"290,211,266","13,857,753","25,660,9250"
362,KSS해운,2012,"309,112,196","12,336,729","7,379,6070"
363,KSS해운,2013,"339,056,173","19,045,256","282,0000"
364,KSS해운,2014,"494,936,208","22,042,087","8,646,8160"
365,KSS해운,2015,"545,679,903","29,730,626","26,120,76014,943,000"
366,KSS해운,2016,"647,988,184","32,622,476","17,806,25026,551,685"
367,KSS해운,2017,"904,763,003","45,074,600","54,420,77218,182,492"
368,KSS해운,2018,"904,473,325","46,817,383","32,306,118519,462,826"
369,KT,2010,"26,941,603,000","2,007,871,000","476,335,000192,448,000"
370,KT,2011,"32,085,409,000","1,748,409,000","391,658,000442,251,000"
371,KT,2012,"34,557,908,000","1,209,233,000","558,542,000513,496,000"
372,KT,2013,"34,846,533,000","839,343,000","634,693,000658,979,000"
373,KT,2014,"33,775,502,000","-406,590,000","1,100,355,000951,795,000"
374,KT,2015,"29,341,185,000","1,292,944,000","174,798,000546,205,000"
375,KT,2016,"30,587,733,000","1,439,979,000","153,100,000584,912,000"
376,KT,2017,"29,730,910,000","1,375,286,000","128,300,000499,735,000"
