,종목명,업종명,종목코드,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
30,CJ대한통운,운수창고업,A000120,12,2013,Annual,"4,608,720,687","1,329,685,385","14,854,492","4,608,720,687","341,668,380","249,048,598","804,918,021","3,795,045,156",0,"6,932,050","64,177,360","-60,061,094","-73,828,143","-127,284,077","161,392,732","693,587,719",48.78,36.38,105.00,74.57,"2,307.92",44.44,-55.13,적전,25.60,92.16,-2.62,1.66,2.05,0.92,1.69,"64,177,360",-1.58,7.84,11.91
31,CJ대한통운,운수창고업,A000120,12,2014,Annual,"4,542,856,099","1,264,507,113","9,665,212","4,542,856,099","322,851,896","217,211,392","701,553,281","4,560,087,295",0,"8,908,157","167,079,481","59,451,740","259,803,712","-67,368,357","-179,312,544","750,681,544",50.20,33.64,99.19,67.01,"2,326.23",20.16,160.34,흑전,-1.43,89.5,2.63,2.01,1.97,1.00,3.66,"167,079,481",1.30,10.5,-1.28
32,CJ대한통운,운수창고업,A000120,12,2015,Annual,"4,500,489,064","1,239,297,511","9,904,924","4,500,489,064","390,689,710","209,336,849","312,024,763","5,055,766,404",0,"6,957,032","186,633,718","48,984,004","171,874,165","-86,381,816","-100,776,380","795,501,657",52.70,31.21,89.76,59.23,"2,382.86",10.87,11.70,-17.61,-0.93,89.14,2.11,2.17,2.30,1.12,3.69,"186,633,718",0.97,10.86,-1.15
33,CJ대한통운,운수창고업,A000120,12,2016,Annual,"5,521,193,039","1,511,133,286","15,248,404","5,521,193,039","587,109,362","365,933,811","394,120,586","6,081,945,642",0,"12,169,048","228,444,490","68,210,131","208,404,672","-705,460,945","543,229,979","1,061,758,766",49.61,32.53,101.56,65.57,"2,402.87",20.30,22.40,39.25,22.68,88.97,2.67,2.38,2.48,1.21,3.76,"228,444,490",1.12,11.03,14.89
34,CJ대한통운,운수창고업,A000120,12,2017,Annual,"6,285,983,376","1,803,525,145","15,658,455","6,285,983,376","700,583,305","476,903,075","468,350,842","7,110,391,208",0,"19,548,423","235,651,420","54,178,650","246,413,341","-689,603,421","456,478,719","1,307,444,028",43.90,35.65,127.77,81.20,"2,405.15",16.91,3.15,-20.57,13.85,89.37,1.97,2.59,2.25,1.20,3.31,"235,651,420",0.76,10.63,19.30
35,CJ대한통운,운수창고업,A000120,12,2018,Annual,"7,868,566,775","2,180,844,615","21,224,162","7,868,566,775","823,066,860","913,901,426","415,957,840","9,219,680,477",0,"17,813,132","242,686,926","66,600,069","61,839,216","-843,492,927","778,549,278","1,336,459,742",39.79,37.12,151.33,93.31,"2,627.39",29.66,2.99,22.93,25.18,91.02,2.26,3.13,2.23,1.30,2.63,"242,686,926",0.72,8.98,36.09
36,CJ씨푸드,음식료품,A011150,12,2010,Annual,"60,766,722","22,624,781","7,241,193","60,766,722","6,464,237","13,625,951",0,"111,082,629",0,"9,998","6,271,453","5,347,162","17,248,427","-1,744,594","-17,485,935","14,724,179",49.71,22.42,101.18,45.11,67.20,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),78.98,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),5.65,"6,271,453",4.81,21.02,N/A(IFRS)
37,CJ씨푸드,음식료품,A011150,12,2011,Annual,"81,363,764","32,314,234","15,078,392","81,363,764","9,399,458","25,691,467",0,"135,743,012","21,000","522,258","5,932,854","4,066,803","2,326,153","-7,032,119","4,890,555","16,015,792",41.08,31.58,143.45,76.87,85.00,22.20,-5.40,-23.94,33.90,81.04,12.78,4.27,3.46,1.91,4.37,"5,932,854",3.00,18.96,31.09
38,CJ씨푸드,음식료품,A011150,12,2012,Annual,"84,020,228","34,904,104","18,515,820","84,020,228","12,893,140","21,110,818",0,"166,841,031",0,"174,559","6,405,562","5,695,522","7,266,659","-2,041,717","-5,489,502","14,311,779",46.44,25.13,115.33,54.10,115.99,22.91,7.97,40.05,3.26,81.77,15.72,4.61,3.59,2.02,3.84,"6,405,562",3.41,18.23,-1.44
39,CJ씨푸드,음식료품,A011150,12,2013,Annual,"81,266,483","31,918,955","15,285,642","81,266,483","10,048,148","14,378,876",0,"154,321,665",0,"6,951","7,199,121","6,411,522","9,884,261","-3,075,710","-6,992,641","13,169,521",54.79,17.69,82.52,32.29,146.46,-7.50,12.39,12.57,-3.28,78.98,15.35,3.69,3.78,1.87,4.67,"7,199,121",4.15,21.02,-0.65
40,CJ씨푸드,음식료품,A011150,12,2014,Annual,"101,198,140","48,939,938","22,104,328","101,198,140","11,355,777","28,108,492",0,"156,340,142",0,"29,835","6,455,900","3,272,646","-8,423,424","-3,435,782","12,597,689","25,283,415",46.77,27.78,113.80,59.38,162.01,1.31,-10.32,-48.96,24.53,78.76,7.13,3.40,3.45,1.71,4.13,"6,455,900",2.09,21.24,7.72
41,CJ씨푸드,음식료품,A011150,12,2015,Annual,"93,610,372","19,831,749","14,372,855","93,610,372","6,255,763","18,897,103",0,"161,716,628",0,"18,773","5,645,835","2,552,395","31,200,322","-20,976,406","-9,946,065","3,220,109",53.43,20.19,87.15,37.78,176.88,3.44,-12.55,-22.01,-7.50,79.68,5.24,3.32,3.32,1.66,3.49,"5,645,835",1.58,20.32,49.26
42,CJ씨푸드,음식료품,A011150,12,2016,Annual,"119,740,511","41,525,711","22,368,332","119,740,511","13,165,384","33,184,058",0,"173,737,758",0,"15,979","5,858,131","5,372,999","-5,469,801","-8,421,955","13,091,815","17,387,561",46.17,27.71,116.59,60.02,206.02,7.43,3.76,110.51,27.91,79.62,10.20,3.30,3.22,1.63,3.37,"5,858,131",3.09,20.38,4.32
