,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
183,LG화학,2022,67973823000.0,80.66,2195518000.0,5.84,19.34,7.24,4.31,50983251000.0,75.00424244197652
184,LG화학,2023,77466694000.0,84.1,2053425000.0,3.35,15.9,5.24,3.72,55249785000.0,71.32069557531395
185,LS,2019,10763512000.0,87.73,92824000.0,2.66,12.27,2.15,0.91,10151760000.0,94.31642757494022
186,LS,2020,11660540000.0,87.64,194725000.0,3.22,12.36,4.47,1.86,10444316000.0,89.56974548348533
187,LS,2021,12625931000.0,87.43,352129000.0,3.66,12.57,7.69,2.74,12829274000.0,101.61051885995576
188,LS,2022,17257356000.0,89.25,847180000.0,3.20,10.75,15.98,4.84,17491338000.0,101.35583921430373
189,LS,2023,18245954000.0,90.33,570596000.0,3.68,9.67,9.03,2.33,24480743000.0,134.17080301747993
190,LS네트웍스,2019,1173590680.0,73.79,-69199964.0,-5.30,26.21,-11.96,-17.18,402812773.0,34.32310599126435
191,LS네트웍스,2020,1228401794.0,74.91,-24668585.0,-9.64,25.09,-4.87,-7.37,334864621.0,27.260186580287588
192,LS네트웍스,2021,1309373198.0,71.69,60088303.0,1.10,28.31,11.48,15.39,390470564.0,29.82118196679324
193,LS네트웍스,2022,1300442455.0,67.61,-2397223.0,2.21,32.39,-0.43,-0.66,362911032.0,27.906735173452944
194,LS네트웍스,2023,1309219122.0,67.73,10704984.0,3.06,32.27,1.92,2.82,379631754.0,28.996807915550747
195,MH에탄올,2019,451474451.0,67.04,-7552043.0,9.68,32.96,-8.83,-9.34,80879342.0,17.914489252017496
196,MH에탄올,2020,449679366.0,63.21,3802823.0,16.67,36.79,4.76,4.02,94645239.0,21.047271935532837
197,MH에탄올,2021,451460752.0,57.03,8688865.0,22.86,42.97,10.52,8.51,102066937.0,22.60815287881326
198,MH에탄올,2022,447440404.0,60.93,11905847.0,19.80,39.07,13.22,10.75,110722402.0,24.745731724308026
199,MH에탄올,2023,445231563.0,61.22,5214660.0,17.93,38.78,5.36,4.94,105484095.0,23.691962512549903
200,NAVER,2019,12299527121.0,0.0,396821062.0,26.51,100.0,6.37,9.11,4356239667.0,35.417944317243155
201,NAVER,2020,17014238664.0,0.0,844996977.0,22.91,100.0,11.45,15.93,5304145900.0,31.174747249919026
202,NAVER,2021,33691006757.0,0.0,16477625560.0,19.44,100.0,102.08,241.69,6817599707.0,20.235666319420698
203,NAVER,2022,33899042889.0,0.0,673180300.0,15.87,100.0,2.84,8.19,8220078709.0,24.248704413030367
204,NAVER,2023,35737826964.0,0.0,985017762.0,15.40,100.0,4.13,10.19,9670643577.0,27.059965304386267
205,NICE,2019,2564827369.0,0.0,77665757.0,8.21,100.0,6.86,4.14,1873784681.0,73.05695126493326
206,NICE,2020,2730355253.0,0.0,52928234.0,7.45,100.0,4.28,2.57,2055514098.0,75.28376007999279
207,NICE,2021,3083783180.0,0.0,101055238.0,5.89,100.0,7.86,4.12,2449866532.0,79.44354025564145
208,NICE,2022,3378563521.0,0.0,69015235.0,5.28,100.0,5.23,2.51,2752922079.0,81.48202814269361
209,NICE,2023,3484123286.0,0.0,19000281.0,3.44,100.0,1.44,0.67,2818916782.0,80.90749237626144
210,NI스틸,2019,258675167.0,84.2,6417500.0,8.16,15.8,5.91,4.33,148224450.0,57.30138370800781
211,NI스틸,2020,287376146.0,82.91,12133553.0,9.67,17.09,10.45,6.30,192571841.0,67.01037775069891
212,NI스틸,2021,341056807.0,81.93,22054807.0,12.57,18.07,16.75,8.89,248212749.0,72.77753849375597
213,NI스틸,2022,397444643.0,74.76,48789612.0,19.06,25.24,29.57,13.73,355390202.0,89.41879284557372
214,NI스틸,2023,447987063.0,74.59,50209593.0,18.45,25.41,23.77,13.11,382911139.0,85.47370462793921
215,SNT에너지,2019,333897235.0,83.27,15452273.0,8.19,16.73,6.49,7.24,213326726.0,63.88993487771769
216,SNT에너지,2020,335351657.0,83.11,9787541.0,9.74,16.89,4.07,4.12,237399736.0,70.79128164260122
217,SNT에너지,2021,332143488.0,83.21,12503181.0,7.76,16.79,5.20,7.31,171088093.0,51.510295755068356
218,SNT에너지,2022,429772702.0,89.1,18804694.0,1.76,10.9,7.46,9.27,202878635.0,47.20603101497126
219,SNT에너지,2023,423163460.0,84.7,22727502.0,6.45,15.3,8.49,7.06,321955650.0,76.083046017253
220,SNT모티브,2019,1038905998.0,84.3,3698578.0,9.14,15.7,0.47,0.38,976273915.0,93.97134263152074
221,SNT모티브,2020,1092927846.0,85.47,54441083.0,9.50,14.53,7.27,5.79,940745523.0,86.07572095843553
222,SNT모티브,2021,1149796359.0,84.7,80118858.0,9.73,15.3,9.90,8.51,941744684.0,81.90534581437129
223,SNT모티브,2022,1225486690.0,83.59,87508434.0,10.71,16.41,10.08,8.38,1044860611.0,85.26086978553802
224,SNT모티브,2023,1211181269.0,85.01,86980060.0,10.26,14.99,9.55,7.65,1136280172.0,93.815863990215
225,SNT다이내믹스,2019,841373802.0,89.74,16645499.0,5.13,10.26,2.72,4.44,375115531.0,44.58369515527178
226,SNT다이내믹스,2020,833364508.0,89.5,8341660.0,4.52,10.5,1.37,2.76,301754408.0,36.20917438926977
227,SNT다이내믹스,2021,879625081.0,87.67,58998656.0,6.13,12.33,9.44,17.56,335954013.0,38.192864239167825
