,종목명,회계년,연구개발비/매출액(%),광고선전비/매출액(%)
2155,유성기업,2019,0.0,0.0
2156,유성기업,2020,0.0,0.00035604033123856177
2157,유성기업,2021,0.0,0.0003111523057467653
2158,유성기업,2022,0.0,0.00127377222056044
2159,유성기업,2023,0.0,0.010418341487298866
2160,유수홀딩스,2019,0.23274059000259897,0.0
2161,유수홀딩스,2020,0.2289805931287836,0.0
2162,유수홀딩스,2021,0.036202389672585655,0.0
2163,유수홀딩스,2022,0.02233847809855612,0.0
2164,유수홀딩스,2023,0.0030379804524171723,0.0
2165,유엔젤,2019,7.644983370795452,0.8878849789065187
2166,유엔젤,2020,8.587157278599522,0.36396092205157937
2167,유엔젤,2021,7.090494383276977,0.020399700031760195
2168,유엔젤,2022,9.250387661427965,0.4926958825595143
2169,유엔젤,2023,7.782665915446089,2.0775845130654216
2170,유유제약,2019,0.9646728957894198,6.28402954636456
2171,유유제약,2020,4.201656614911524,4.4659507516960435
2172,유유제약,2021,3.4657076575313313,5.301502129362909
2173,유유제약,2022,6.20701933602809,5.125916525289093
2174,유유제약,2023,5.238435631492198,3.2660188203027123
2175,유한양행,2019,6.545708305218458,4.931806539651982
2176,유한양행,2020,8.805276694046208,4.253929747885957
2177,유한양행,2021,6.3204383728622275,5.751037540463715
2178,유한양행,2022,6.031108560463366,5.652305363120474
2179,유한양행,2023,6.450838010548302,5.252372457519479
2180,율촌화학,2019,0.48725016009665884,0.01136478971296881
2181,율촌화학,2020,0.8294468633973576,0.009155206301175844
2182,율촌화학,2021,2.2402908604662217,0.008371289620637745
2183,율촌화학,2022,2.3794036794919733,0.009191436753735054
2184,율촌화학,2023,2.086570308552949,0.006222095115737363
2185,이건산업,2019,0.17394045343758494,0.14348132424873106
2186,이건산업,2020,0.19902277889401807,0.20521031399907516
2187,이건산업,2021,0.1353122107330555,0.12995369041319715
2188,이건산업,2022,0.21206888765283818,0.134516947245153
2189,이건산업,2023,0.21932005157482667,0.22052591979885666
2190,이구산업,2019,0.0,0.005374591735731415
2191,이구산업,2020,0.0,0.005159250720096136
2192,이구산업,2021,0.0,0.007603555594029433
2193,이구산업,2022,0.0,0.004483510068014908
2194,이구산업,2023,0.0,0.004155079482099374
2195,이수페타시스,2019,0.0,0.007017756826612989
2196,이수페타시스,2020,0.0,0.001911610346888412
2197,이수페타시스,2021,0.0,0.005843221343886227
2198,이수페타시스,2022,0.0011091572961164082,0.005215730137522299
2199,이수페타시스,2023,0.0,0.01112473803950952
2200,이수화학,2019,1.062749329419429,0.013908114621193
2201,이수화학,2020,1.2664368918236675,0.017027626295144163
2202,이수화학,2021,0.7434414409836649,0.018542189742315227
2203,이수화학,2022,0.8271125736643129,0.013573780012548137
2204,이수화학,2023,0.9160514545959139,0.03308703686094444
2205,이스타코,2019,0.0,0.0442398282406304
2206,이스타코,2020,0.0,0.003088673089070204
2207,이스타코,2021,0.0,0.046468816110247085
2208,이스타코,2022,0.0,0.045130732271699066
2209,이스타코,2023,0.0,0.09211353233995802
2210,이아이디,2019,0.026941393573134926,0.010638847360770228
2211,이아이디,2020,0.24589254537349398,0.13900203280758358
2212,이아이디,2021,0.16290972535256018,0.3666815304411142
2213,이아이디,2022,0.2760766817093254,0.0682364068006593
2214,이아이디,2023,0.18872473633480888,0.03976245074949789
2215,이월드,2019,0.0,0.523771880908823
2216,이월드,2020,0.0,0.9166619417501645
2217,이월드,2021,0.0,1.5539235120288355
2218,이월드,2022,0.0,1.162372436050198
2219,이월드,2023,0.0,1.24846232804001
2220,이화산업,2019,0.0,0.12379105072854607
2221,이화산업,2020,0.0,0.06363715348851111
2222,이화산업,2021,0.0,0.040709570584648976
2223,이화산업,2022,0.0,0.0658509265391309
2224,이화산업,2023,0.0,0.040448978361841595
2225,인디에프,2019,0.0,0.9108089797257771
2226,인디에프,2020,0.0,1.5870252163401746
2227,인디에프,2021,0.0,2.8838127949508285
2228,인디에프,2022,0.0,1.3135496681989678
2229,인디에프,2023,0.0,1.7473530983727326
2230,인스코비,2019,1.7843278138923842,0.846358626369265
2231,인스코비,2020,1.8562808662444565,3.6426403745157225
2232,인스코비,2021,1.4658093971962112,6.69141961912649
2233,인스코비,2022,1.8350192900674065,1.1597006517696096
2234,인스코비,2023,1.119015436656965,3.543094358452133
2235,인지컨트롤스,2019,1.218831172112364,0.029447063077539668
2236,인지컨트롤스,2020,1.2032463565284308,0.02286210789328109
2237,인지컨트롤스,2021,0.7980109806257805,0.03577745555172076
2238,인지컨트롤스,2022,0.8073327493196083,0.05351716520544819
2239,인지컨트롤스,2023,0.7030961637096469,0.040192376102434944
2240,인천도시가스,2019,0.0,0.01951297820997581
2241,인천도시가스,2020,0.0,0.03350183891029647
2242,인천도시가스,2021,0.0,0.027856654169684966
2243,인천도시가스,2022,0.0,0.01974510411851566
2244,인천도시가스,2023,0.0,0.01582172503960557
2245,인팩,2019,0.8369599059022678,0.014565647817330581
2246,인팩,2020,0.8600517061138555,0.028559294922279856
2247,인팩,2021,0.8735742923454276,0.015199835598009963
2248,인팩,2022,0.8052506759183576,0.015294183431876274
2249,인팩,2023,0.9217289866188617,0.016067616952896782
2250,일동홀딩스,2019,9.995500261596145,5.234600657216682
2251,일동홀딩스,2020,11.475501470978587,5.513103068435851
2252,일동홀딩스,2021,18.54167717733098,5.12187098599608
2253,일동홀딩스,2022,17.680583094420783,4.89414555029042
2254,일동홀딩스,2023,16.913612153787085,3.5236371613555244
2255,일성건설,2019,0.0,0.06647352341229185
2256,일성건설,2020,0.0,0.08307116375045306
2257,일성건설,2021,0.14510649294699793,0.07692357078993589
2258,일성건설,2022,0.16095987905273526,0.07419753603756873
2259,일성건설,2023,0.13009429568102282,0.07154674509058757
2260,일성아이에스,2019,0.19311063036343254,3.799023242928331
2261,일성아이에스,2020,0.2689852980975811,2.171384496220413
2262,일성아이에스,2021,0.23540837745245669,2.4520171568261753
2263,일성아이에스,2022,2.4692851652401755,2.329193710270338
2264,일성아이에스,2023,0.7534383713924876,2.1885948297438858
2265,일신방직,2019,0.011766843638017282,0.43374040307059175
2266,일신방직,2020,0.008780060858668311,0.42302292775780076
2267,일신방직,2021,0.00809961472248638,0.47507856647910396
2268,일신방직,2022,0.010707707806791922,0.7342044726333091
2269,일신방직,2023,0.010812017376467887,0.5568308524183302
2270,일신석재,2019,0.0,0.5153833861433919
2271,일신석재,2020,0.0,0.4613883764223967
2272,일신석재,2021,0.0,0.06696816836547297
2273,일신석재,2022,0.0,0.10538676227005586
2274,일신석재,2023,0.0,0.2439759995061905
2275,일양약품,2019,4.883182415201771,2.6892496442954448
2276,일양약품,2020,5.744719745616158,3.6293960070757145
2277,일양약품,2021,5.438451467944145,3.3571187988152595
2278,일양약품,2022,6.763771241447694,3.9385030680557516
2279,일양약품,2023,7.405251259827594,3.92084300411807
2280,일정실업,2019,2.896162296130786,0.004352822173115307
2281,일정실업,2020,2.730562083013387,0.002588584684528699
2282,일정실업,2021,2.5641705243427557,0.004979830702792368
2283,일정실업,2022,4.248759544028534,0.0002085038879340885
2284,일정실업,2023,3.6102865729847027,0.05151702822868563
2285,일진다이아,2019,2.7524797111913024,2.5700095165222736
2286,일진다이아,2020,3.236081470211344,0.07658511884603326
2287,일진다이아,2021,4.79436660768607,0.14968083165838925
2288,일진다이아,2022,5.610348825579952,0.1966186385516079
2289,일진다이아,2023,6.811021672123278,0.18057933856008762
2290,일진디스플,2019,6.621991382327956,0.017472363771290425
2291,일진디스플,2020,8.304344309862412,0.0
2292,일진디스플,2021,3.402328598581412,0.0
2293,일진디스플,2022,0.4560706409364145,0.0
