,종목명,회계년,총자본회전율(회),총부채회전율(회),총자산회전율(회)
371,경방,2020,0.44,0.57,0.25
372,경방,2021,0.51,0.74,0.30
373,경방,2022,0.52,0.77,0.31
374,경방,2023,0.53,0.82,0.32
375,경인양행,2019,1.56,1.69,0.81
376,경인양행,2020,1.41,1.29,0.67
377,경인양행,2021,1.68,1.33,0.74
378,경인양행,2022,1.55,1.32,0.71
379,경인양행,2023,1.33,1.21,0.64
380,경인전자,2019,0.24,5.14,0.23
381,경인전자,2020,0.38,6.74,0.36
382,경인전자,2021,0.48,5.45,0.44
383,경인전자,2022,0.32,3.75,0.30
384,경인전자,2023,0.31,4.71,0.29
385,계룡건설,2019,4.83,1.63,1.22
386,계룡건설,2020,3.97,1.48,1.08
387,계룡건설,2021,3.77,1.69,1.17
388,계룡건설,2022,3.79,1.77,1.21
389,계룡건설,2023,3.58,1.64,1.13
390,계양전기,2019,2.08,3.86,1.35
391,계양전기,2020,2.09,3.58,1.32
392,계양전기,2021,2.06,3.62,1.31
393,계양전기,2022,2.35,2.69,1.25
394,계양전기,2023,3.07,2.71,1.44
395,고려산업,2019,2.05,1.66,0.92
396,고려산업,2020,1.92,1.70,0.90
397,고려산업,2021,2.04,1.74,0.94
398,고려산업,2022,2.62,1.85,1.08
399,고려산업,2023,3.00,1.88,1.15
400,고려아연,2019,1.01,7.22,0.89
401,고려아연,2020,1.09,6.28,0.93
402,고려아연,2021,1.35,5.48,1.08
403,고려아연,2022,1.32,4.40,1.02
404,고려아연,2023,1.03,3.68,0.80
405,고려제강,2019,1.12,1.82,0.69
406,고려제강,2020,0.95,1.69,0.61
407,고려제강,2021,1.09,2.09,0.72
408,고려제강,2022,1.23,2.53,0.83
409,고려제강,2023,1.02,2.45,0.72
410,광동제약,2019,2.82,3.83,1.62
411,광동제약,2020,2.62,3.69,1.53
412,광동제약,2021,2.60,3.91,1.56
413,광동제약,2022,2.67,3.86,1.58
414,광동제약,2023,2.67,3.46,1.51
415,광명전기,2019,1.29,2.53,0.85
416,광명전기,2020,1.15,2.30,0.77
417,광명전기,2021,1.22,2.47,0.82
418,광명전기,2022,1.18,2.56,0.81
419,광명전기,2023,1.29,2.94,0.90
