Symbol,Name,결산월,회계년,주기,ROE(영업이익)(%)
A214390,경보제약,12,2017,Annual,18.15
A214390,경보제약,12,2018,Annual,11.89
A214390,경보제약,12,2019,Annual,4.15
A214390,경보제약,12,2020,Annual,5.68
A214390,경보제약,12,2021,Annual,-4.39
A214390,경보제약,12,2022,Annual,0.96
A214390,경보제약,12,2023,Annual,3.85
A214390,경보제약,12,2024,Annual,
A136490,선진,12,2011,Annual,
A136490,선진,12,2012,Annual,25.68
A136490,선진,12,2013,Annual,21.55
A136490,선진,12,2014,Annual,17.05
A136490,선진,12,2015,Annual,15.61
A136490,선진,12,2016,Annual,22.00
A136490,선진,12,2017,Annual,20.66
A136490,선진,12,2018,Annual,10.45
A136490,선진,12,2019,Annual,12.11
A136490,선진,12,2020,Annual,30.07
A136490,선진,12,2021,Annual,20.89
A136490,선진,12,2022,Annual,16.51
A136490,선진,12,2023,Annual,22.07
A136490,선진,12,2024,Annual,
A016610,DB금융투자,3,2011,Annual,1.54
A016610,DB금융투자,3,2012,Annual,12.38
A016610,DB금융투자,12,2013,Annual,-1.26
A016610,DB금융투자,12,2014,Annual,3.10
A016610,DB금융투자,12,2015,Annual,1.51
A016610,DB금융투자,12,2016,Annual,1.42
A016610,DB금융투자,12,2017,Annual,3.19
A016610,DB금융투자,12,2018,Annual,11.77
A016610,DB금융투자,12,2019,Annual,11.11
A016610,DB금융투자,12,2020,Annual,15.76
A016610,DB금융투자,12,2021,Annual,17.21
A016610,DB금융투자,12,2022,Annual,2.27
A016610,DB금융투자,12,2023,Annual,1.92
A016610,DB금융투자,12,2024,Annual,
A004710,한솔테크닉스,12,2011,Annual,-16.07
A004710,한솔테크닉스,12,2012,Annual,-22.70
A004710,한솔테크닉스,12,2013,Annual,-5.60
A004710,한솔테크닉스,12,2014,Annual,4.63
A004710,한솔테크닉스,12,2015,Annual,7.16
A004710,한솔테크닉스,12,2016,Annual,9.81
A004710,한솔테크닉스,12,2017,Annual,14.21
A004710,한솔테크닉스,12,2018,Annual,7.49
A004710,한솔테크닉스,12,2019,Annual,10.98
A004710,한솔테크닉스,12,2020,Annual,12.00
A004710,한솔테크닉스,12,2021,Annual,-1.53
A004710,한솔테크닉스,12,2022,Annual,15.56
A004710,한솔테크닉스,12,2023,Annual,10.70
A004710,한솔테크닉스,12,2024,Annual,
A083420,그린케미칼,12,2011,Annual,14.89
A083420,그린케미칼,12,2012,Annual,14.90
A083420,그린케미칼,12,2013,Annual,11.45
A083420,그린케미칼,12,2014,Annual,12.80
A083420,그린케미칼,12,2015,Annual,2.63
A083420,그린케미칼,12,2016,Annual,3.51
A083420,그린케미칼,12,2017,Annual,3.14
A083420,그린케미칼,12,2018,Annual,3.10
A083420,그린케미칼,12,2019,Annual,7.24
A083420,그린케미칼,12,2020,Annual,13.27
A083420,그린케미칼,12,2021,Annual,17.62
A083420,그린케미칼,12,2022,Annual,14.01
A083420,그린케미칼,12,2023,Annual,4.08
A083420,그린케미칼,12,2024,Annual,
A028100,동아지질,12,2011,Annual,3.43
A028100,동아지질,12,2012,Annual,7.37
A028100,동아지질,12,2013,Annual,3.12
A028100,동아지질,12,2014,Annual,2.21
A028100,동아지질,12,2015,Annual,2.90
A028100,동아지질,12,2016,Annual,8.71
A028100,동아지질,12,2017,Annual,13.30
A028100,동아지질,12,2018,Annual,15.75
A028100,동아지질,12,2019,Annual,12.43
A028100,동아지질,12,2020,Annual,1.68
A028100,동아지질,12,2021,Annual,2.03
A028100,동아지질,12,2022,Annual,-14.35
A028100,동아지질,12,2023,Annual,3.41
A028100,동아지질,12,2024,Annual,
A015890,태경산업,12,2011,Annual,12.99
A015890,태경산업,12,2012,Annual,8.56
A015890,태경산업,12,2013,Annual,5.62
A015890,태경산업,12,2014,Annual,5.53
A015890,태경산업,12,2015,Annual,-1.24
A015890,태경산업,12,2016,Annual,4.71
A015890,태경산업,12,2017,Annual,7.51
A015890,태경산업,12,2018,Annual,8.21
A015890,태경산업,12,2019,Annual,3.30
A015890,태경산업,12,2020,Annual,4.62
A015890,태경산업,12,2021,Annual,11.10
A015890,태경산업,12,2022,Annual,13.62
A015890,태경산업,12,2023,Annual,10.13
A015890,태경산업,12,2024,Annual,
A267850,아시아나IDT,12,2011,Annual,29.89
A267850,아시아나IDT,12,2012,Annual,14.70
A267850,아시아나IDT,12,2013,Annual,12.83
A267850,아시아나IDT,12,2014,Annual,16.64
A267850,아시아나IDT,12,2015,Annual,14.94
A267850,아시아나IDT,12,2016,Annual,15.59
A267850,아시아나IDT,12,2017,Annual,17.23
