종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조,종목코드,시장구분,업종명,시가총액
전방,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,6.0,3.0,0.0,0.0,-1.0,2.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950,KOSPI,섬유의복,33684000000.0
제이에스코퍼레이션,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,194370,KOSPI,기타제조업,248975670670.0
제이준코스메틱,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,25620,KOSPI,화학,28792711320.0
제일기획,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,7.0,6.0,6.0,1.0,7.0,6.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30000,KOSPI,서비스업,2160474205500.0
제일약품,3.0,3.0,6.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,-4.0,-4.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,271980,KOSPI,의약품,244983167520.0
제일연마,3.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,6.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,-2.0,-2.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1560,KOSPI,비금속광물,85100000000.0
제일파마홀딩스,3.0,3.0,6.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,-4.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2620,KOSPI,서비스업,163886622300.0
제주은행,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,8.0,7.0,6.0,3.0,7.0,7.0,1.0,2.0,1.0,0.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6220,KOSPI,은행,491891529940.0
제주항공,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,5.0,3.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,6.0,1.0,2.0,0.0,0.0,-1.0,-2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,89590,KOSPI,운수창고업,874954687250.0
조광페인트,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,0.0,-2.0,-2.0,-3.0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4910,KOSPI,화학,79232000000.0
조광피혁,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700,KOSPI,기타제조업,335116555200.0
조비,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,5.0,5.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550,KOSPI,화학,66201047250.0
조선선재,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,120030,KOSPI,기계,122746737600.0
조일알미늄,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18470,KOSPI,철강금속,298217702955.0
조흥,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,-2.0,-4.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2600,KOSPI,음식료품,104520000000.0
종근당,6.0,7.0,7.0,5.0,6.0,7.0,7.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,5.0,3.0,6.0,6.0,2.0,4.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,185750,KOSPI,의약품,1343790840000.0
종근당바이오,6.0,7.0,7.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,3.0,5.0,3.0,3.0,3.0,1.0,4.0,3.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63160,KOSPI,의약품,128645808900.0
종근당홀딩스,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1630,KOSPI,의약품,309609409800.0
주성코퍼레이션,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,2.0,0.0,4.0,-4.0,-4.0,-2.0,-2.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,109070,KOSPI,전기전자,216521943000.0
주연테크,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44380,KOSPI,전기전자,27350050728.0
지누스,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,3.0,1.0,3.0,6.0,,,,,-,-,-,-,3.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13890,KOSPI,기타제조업,253591544920.0
지엠비코리아,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,0.0,0.0,-2.0,2.0,-2.0,-2.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13870,KOSPI,운수장비,80771105800.0
지역난방공사,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,6.0,8.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,71320,KOSPI,전기가스업,470097006400.0
진도,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,-4.0,0.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,88790,KOSPI,유통업,29252198400.0
진양산업,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3780,KOSPI,화학,85540000000.0
진양폴리우레탄,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
진양홀딩스,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,-4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100250,KOSPI,화학,179703363780.0
진양화학,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,-2.0,0.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51630,KOSPI,화학,56248000000.0
진에어,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,6.0,3.0,7.0,7.0,6.0,3.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,272450,KOSPI,운수창고업,716706000000.0
진원생명과학,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11000,KOSPI,의약품,194895050225.0
진흥기업,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,6.0,3.0,3.0,5.0,5.0,0.0,0.0,-2.0,1.0,0.0,-2.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2780,KOSPI,건설업,137179855535.0
참엔지니어링,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,6.0,5.0,5.0,5.0,5.0,0.0,-4.0,0.0,1.0,-2.0,0.0,-2.0,-1.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,9310,KOSPI,기계,37171929522.0
천일고속,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,6.0,5.0,3.0,5.0,6.0,0.0,0.0,-2.0,0.0,-4.0,-2.0,-2.0,-5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,650,KOSPI,운수창고업,67459184000.0
