Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A069260,TKG휴켐스,12,2023,Annual,"840,458,533","259,255,639","1,099,714,172"
A069260,TKG휴켐스,12,2024,Annual,,,
A010780,아이에스동서,12,2011,Annual,"396,340,185","577,283,764","973,623,949"
A010780,아이에스동서,12,2012,Annual,"395,528,870","707,674,218","1,103,203,088"
A010780,아이에스동서,12,2013,Annual,"416,747,182","605,642,614","1,022,389,795"
A010780,아이에스동서,12,2014,Annual,"465,705,824","762,778,782","1,228,484,606"
A010780,아이에스동서,12,2015,Annual,"596,823,998","1,247,942,482","1,844,766,480"
A010780,아이에스동서,12,2016,Annual,"939,598,670","1,134,773,970","2,074,372,640"
A010780,아이에스동서,12,2017,Annual,"1,106,025,643","1,166,143,947","2,272,169,590"
A010780,아이에스동서,12,2018,Annual,"1,107,807,660","1,074,869,829","2,182,677,489"
A010780,아이에스동서,12,2019,Annual,"1,273,558,138","1,610,218,288","2,883,776,426"
A010780,아이에스동서,12,2020,Annual,"1,390,038,608","2,231,460,472","3,621,499,080"
A010780,아이에스동서,12,2021,Annual,"1,456,863,415","2,052,891,777","3,509,755,192"
A010780,아이에스동서,12,2022,Annual,"1,606,134,122","2,131,652,334","3,737,786,456"
A010780,아이에스동서,12,2023,Annual,"1,772,210,982","2,465,162,334","4,237,373,316"
A010780,아이에스동서,12,2024,Annual,,,
A003540,대신증권,3,2011,Annual,"1,733,394,718","9,247,454,275","10,980,848,993"
A003540,대신증권,3,2012,Annual,"1,658,135,488","10,928,013,045","12,586,148,533"
A003540,대신증권,12,2013,Annual,"1,634,585,788","12,189,490,827","13,824,076,615"
A003540,대신증권,12,2014,Annual,"1,642,896,364","16,578,849,036","18,221,745,400"
A003540,대신증권,12,2015,Annual,"1,731,517,160","16,954,453,138","18,685,970,298"
A003540,대신증권,12,2016,Annual,"1,778,063,926","15,914,516,694","17,692,580,620"
A003540,대신증권,12,2017,Annual,"1,867,896,721","15,578,942,992","17,446,839,713"
A003540,대신증권,12,2018,Annual,"2,000,896,105","17,150,418,139","19,151,314,244"
A003540,대신증권,12,2019,Annual,"2,017,049,064","17,420,231,323","19,437,280,387"
A003540,대신증권,12,2020,Annual,"2,077,368,705","19,426,477,977","21,503,846,682"
A003540,대신증권,12,2021,Annual,"2,653,206,536","20,110,035,373","22,763,241,909"
A003540,대신증권,12,2022,Annual,"2,722,959,293","18,487,776,170","21,210,735,463"
A003540,대신증권,12,2023,Annual,"3,021,428,824","19,622,059,968","22,643,488,792"
A003540,대신증권,12,2024,Annual,,,
A181710,NHN,12,2011,Annual,,,
