,종목명,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023
395,에스제이지세종,770626000.0,777174141.0,748025818.0,739910936.0,1158750683.0,1180100054.0,1149427318.0,1151805424.0
396,송원산업,427645000.0,572395000.0,534689000.0,384152000.0,891142000.0,1115649000.0,1217311000.0,1089744000.0
397,수산중공업,132757189.0,114040079.0,123182487.0,87612992.0,236404221.0,236089652.0,261731135.0,263117530.0
398,신대양제지,209644030.0,219154384.0,227229978.0,189456582.0,809132235.0,845951512.0,884529890.0,876212193.0
399,신도리코,67712532.0,73933348.0,84787666.0,87555410.0,916234313.0,1022601243.0,1038493448.0,1078782999.0
400,신라교역,111067184.0,127921321.0,157356041.0,178568344.0,629072905.0,680457027.0,716401498.0,748620183.0
401,신성이엔지,231976448.0,268618297.0,366385475.0,345149056.0,423441771.0,476656365.0,577555245.0,587747541.0
402,신성통상,627550384.0,633484645.0,679481774.0,645814959.0,858316042.0,898483606.0,1022769919.0,1069740616.0
403,신세계,7711856252.0,7882059338.0,8096632950.0,8411994527.0,12769110974.0,13644510517.0,14348412323.0,14751983355.0
404,신세계I&C,72335931.0,77831503.0,118998740.0,94320452.0,283666197.0,354134942.0,482934080.0,476561498.0
405,신세계건설,563223277.0,602860756.0,751891779.0,1141761519.0,765614224.0,828998344.0,1035610954.0,1261721118.0
406,신영와코루,56262666.0,65750359.0,63083714.0,36041587.0,373426209.0,388668604.0,425804459.0,401719803.0
407,신영증권,8419702402.0,9592427579.0,8663574450.0,9355337865.0,9820753720.0,11085013453.0,10198800405.0,10980360381.0
408,신원,220186806.0,292127409.0,284616542.0,331223041.0,405804841.0,503617026.0,510124894.0,545009763.0
409,신일전자,35333284.0,39482255.0,70989813.0,43889322.0,110598654.0,122088681.0,152880655.0,126134087.0
410,신풍제약,112819609.0,38025375.0,30777771.0,79301495.0,492915057.0,398349775.0,361536058.0,350083640.0
411,신풍,7342670.0,4491678.0,30070256.0,32548431.0,107754752.0,93873256.0,112417897.0,104190909.0
412,신한지주,558877000000.0,598614000000.0,611010000000.0,635473000000.0,605234000000.0,648152000000.0,664433000000.0,691795000000.0
413,SHD,29596285.0,30435747.0,36836002.0,33500821.0,64200496.0,71036421.0,88291972.0,84766158.0
414,신흥,54274739.0,37195201.0,33759592.0,26440644.0,146176718.0,138612212.0,140622550.0,140331353.0
415,쌍방울,135141277.0,167330571.0,29093373.0,30263801.0,350525095.0,395643690.0,167746018.0,143820156.0
416,쌍용C&E,1637119316.0,1909294816.0,2281205119.0,2060600861.0,3326801073.0,3564764921.0,3874346066.0,3639543305.0
417,써니전자,1602323.0,9012295.0,3286137.0,1493834.0,65431757.0,77185258.0,76509690.0,82497512.0
418,씨아이테크,42371691.0,31715497.0,41507587.0,35659256.0,75094283.0,79538625.0,94190035.0,90579938.0
419,아남전자,133577436.0,193585924.0,172812424.0,105190755.0,192770243.0,271957635.0,270755696.0,211753779.0
420,아모레퍼시픽,1237520432.0,1372414055.0,1022508074.0,1013805678.0,5701918176.0,6116713933.0,5801783178.0,5886510889.0
421,아모레G,1516700822.0,1562518154.0,1117500460.0,1106298749.0,7788743600.0,8038142932.0,7651003801.0,7631430778.0
422,메타랩스,23555345.0,28601817.0,11129379.0,38453398.0,77019665.0,85034045.0,90016754.0,111855785.0
423,아세아,1359881772.0,1399054581.0,1317598874.0,1291990928.0,2887531024.0,3115270385.0,3182375948.0,3272086006.0
424,아세아제지,248826738.0,255172404.0,230662240.0,198420446.0,882326925.0,969593253.0,1034948262.0,1048177765.0
425,아시아나항공,12762122307.0,12561568437.0,12739695841.0,12206400393.0,13851459281.0,13082664860.0,13455341412.0,13016745781.0
426,아이에스동서,2231460472.0,2052891777.0,2131652334.0,2465162334.0,3621499080.0,3509755192.0,3737786456.0,4237373316.0
427,IHQ,27655370.0,120389630.0,158843225.0,43043155.0,146319857.0,238568446.0,246320129.0,151653101.0
