Symbol,Name,PBR(IFRS-연결)
A005800,신영와코루,0.23
A002920,유성기업,0.23
A143210,핸즈코퍼레이션,0.23
A004020,현대제철,0.22
A027410,BGF,0.22
A002320,한진,0.22
A000180,성창기업지주,0.22
A002020,코오롱,0.21
A009200,무림페이퍼,0.21
A004440,삼일씨엔에스,0.21
A001070,대한방직,0.21
A023530,롯데쇼핑,0.20
A058650,세아홀딩스,0.20
A000540,흥국화재,0.20
A005720,넥센,0.20
A003830,대한화섬,0.20
A004150,한솔홀딩스,0.20
A005960,동부건설,0.20
A067830,세이브존I&C,0.20
A014790,HL D&I,0.20
A000850,화천기공,0.20
A000670,영풍,0.19
A012630,HDC,0.19
A460850,동국씨엠,0.19
A088350,한화생명,0.18
A071840,롯데하이마트,0.17
A016610,DB금융투자,0.17
A012160,영흥,0.17
A003240,태광산업,0.16
A001230,동국홀딩스,0.16
A000950,전방,0.16
A139480,이마트,0.15
A013580,계룡건설,0.15
A021820,세원정공,0.15
A002820,SUN&L,0.14
A004960,한신공영,0.10
,Last Refresh: 2024-04-23 19:07:12,
A475150,SK이터닉스,
A009410,태영건설,
A000300,대유플러스,
A006380,카프로,
