,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액,2012-2011지배구조차이,2013-2012지배구조차이,2014-2013지배구조차이,2015-2014지배구조차이,2016-2015지배구조차이,2017-2016지배구조차이,2018-2017지배구조차이
129,현대엘리베이,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,17800.0,KOSPI,기계,1581290000000.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0
130,현대차,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5380.0,KOSPI,운수장비,51307000000000.0,0.0,0.0,-2.0,1.0,1.0,-1.0,1.0
131,현대제철,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4020.0,KOSPI,철강금속,4276940000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
132,HD현대중공업,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,329180.0,KOSPI,운수장비,10883600000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
133,현대해상,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,1450.0,KOSPI,보험,2749050000000.0,-1.0,0.0,1.0,-1.0,0.0,1.0,1.0
134,형지엘리트,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,93240.0,KOSPI,섬유의복,37697305580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,호텔신라,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,8770.0,KOSPI,유통업,2276390000000.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0
136,화승알앤에이,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,378850.0,KOSPI,운수장비,74265065930.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137,화승인더,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,6060.0,KOSPI,화학,221003000000.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0
138,화천기계,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10660.0,KOSPI,기계,80960000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,효성,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4800.0,KOSPI,기타금융,1224230000000.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0
140,후성,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,93370.0,KOSPI,화학,748212000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,휴니드,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5870.0,KOSPI,전기전자,103753000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,휴스틸,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5010.0,KOSPI,철강금속,251161000000.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0
143,TKG휴켐스,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,69260.0,KOSPI,화학,791001000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
144,동국제강,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,460860.0,KOSPI,철강금속,557594000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
