,종목명,2020사회,2021사회,2022사회,2023사회,2024사회,종목코드,시장구분,업종명,시가총액,2021-2020사회차이,2022-2021사회차이,2023-2022사회차이,2024-2023사회차이
139,대상홀딩스,3.0,6.0,6.0,6.0,6.0,84690.0,KOSPI,기타금융,320843000000.0,3.0,0.0,0.0,0.0
140,대성홀딩스,4.0,4.0,3.0,2.0,2.0,16710.0,KOSPI,서비스업,144322000000.0,0.0,-1.0,-1.0,0.0
141,대신증권,4.0,6.0,4.0,5.0,5.0,3540.0,KOSPI,증권,767694000000.0,2.0,-2.0,1.0,0.0
142,대양금속,2.0,2.0,1.0,2.0,2.0,9190.0,KOSPI,철강금속,76862071306.0,0.0,-1.0,1.0,0.0
143,대영포장,2.0,2.0,1.0,2.0,2.0,14160.0,KOSPI,종이목재,140371000000.0,0.0,-1.0,1.0,0.0
144,대우건설,3.0,5.0,4.0,4.0,4.0,47040.0,KOSPI,건설업,1541960000000.0,2.0,-1.0,0.0,0.0
145,대우부품,2.0,2.0,1.0,1.0,1.0,9320.0,KOSPI,운수장비,68428080760.0,0.0,-1.0,0.0,0.0
146,한화오션,3.0,6.0,4.0,4.0,4.0,42660.0,KOSPI,운수장비,9864760000000.0,3.0,-2.0,0.0,0.0
147,대웅,4.0,4.0,5.0,5.0,5.0,3090.0,KOSPI,의약품,1054700000000.0,0.0,1.0,0.0,0.0
148,대웅제약,4.0,3.0,5.0,5.0,5.0,69620.0,KOSPI,의약품,1283790000000.0,-1.0,2.0,0.0,0.0
149,대원강업,4.0,2.0,1.0,4.0,4.0,430.0,KOSPI,운수장비,341000000000.0,-2.0,-1.0,3.0,0.0
150,대원전선,2.0,2.0,1.0,1.0,1.0,6340.0,KOSPI,전기전자,170556000000.0,0.0,-1.0,0.0,0.0
151,대원제약,4.0,3.0,3.0,3.0,3.0,3220.0,KOSPI,의약품,337957000000.0,-1.0,0.0,0.0,0.0
152,대원화성,3.0,3.0,2.0,1.0,1.0,24890.0,KOSPI,화학,70618548224.0,0.0,-1.0,-1.0,0.0
153,대유에이텍,2.0,2.0,2.0,3.0,3.0,2880.0,KOSPI,운수장비,54643759380.0,0.0,0.0,1.0,0.0
154,대유플러스,2.0,2.0,1.0,1.0,1.0,300.0,KOSPI,전기전자,30475633069.0,0.0,-1.0,0.0,0.0
155,대창,3.0,3.0,2.0,1.0,1.0,12800.0,KOSPI,철강금속,137349000000.0,0.0,-1.0,-1.0,0.0
156,대창단조,3.0,2.0,2.0,1.0,1.0,15230.0,KOSPI,운수장비,166290000000.0,-1.0,0.0,-1.0,0.0
157,대한방직,2.0,2.0,1.0,1.0,1.0,1070.0,KOSPI,섬유의복,34768000000.0,0.0,-1.0,0.0,0.0
158,대한유화,4.0,3.0,3.0,4.0,4.0,6650.0,KOSPI,화학,869050000000.0,-1.0,0.0,1.0,0.0
159,대한전선,4.0,6.0,6.0,6.0,6.0,1440.0,KOSPI,전기전자,2321270000000.0,2.0,0.0,0.0,0.0
160,대한제강,3.0,3.0,1.0,2.0,2.0,84010.0,KOSPI,철강금속,325928000000.0,0.0,-2.0,1.0,0.0
161,대한제당,2.0,2.0,1.0,2.0,2.0,1790.0,KOSPI,음식료품,278059000000.0,0.0,-1.0,1.0,0.0
162,대한제분,3.0,2.0,1.0,1.0,1.0,1130.0,KOSPI,음식료품,221897000000.0,-1.0,-1.0,0.0,0.0
163,대한항공,6.0,6.0,5.0,6.0,6.0,3490.0,KOSPI,운수창고업,7640580000000.0,0.0,-1.0,1.0,0.0
164,대한화섬,4.0,4.0,2.0,1.0,1.0,3830.0,KOSPI,화학,143822000000.0,0.0,-2.0,-1.0,0.0
165,대현,2.0,3.0,1.0,1.0,1.0,16090.0,KOSPI,섬유의복,84667776720.0,1.0,-2.0,0.0,0.0
166,대호에이엘,2.0,2.0,1.0,1.0,1.0,69460.0,KOSPI,철강금속,75582738624.0,0.0,-1.0,0.0,0.0
167,더존비즈온,4.0,3.0,2.0,3.0,3.0,12510.0,KOSPI,서비스업,1637630000000.0,-1.0,-1.0,1.0,0.0
168,덕성,2.0,2.0,2.0,1.0,1.0,4830.0,KOSPI,화학,125440000000.0,0.0,0.0,-1.0,0.0
169,덕양산업,3.0,2.0,2.0,3.0,3.0,24900.0,KOSPI,운수장비,169989000000.0,-1.0,0.0,1.0,0.0
170,케이비아이동국실업,3.0,2.0,1.0,1.0,1.0,1620.0,KOSPI,운수장비,64661251011.0,-1.0,-1.0,0.0,0.0
171,하이스틸,2.0,3.0,2.0,2.0,2.0,71090.0,KOSPI,철강금속,65824195460.0,1.0,-1.0,0.0,0.0
