,종목명,2020환경,2021환경,2022환경,2023환경,2024환경,종목코드,시장구분,업종명,시가총액
757,쿠쿠홀딩스,D,D,D,D,D,192400.0,KOSPI,기타금융,663946000000.0
758,화인베스틸,B,B,C,C,C,133820.0,KOSPI,철강금속,39796518338.0
759,삼성에스디에스,B+,A,A,A,A,18260.0,KOSPI,서비스업,11676300000000.0
760,서연이화,B,B+,B,B+,B+,200880.0,KOSPI,운수장비,480836000000.0
761,씨에스윈드,B,B,C,B+,B+,112610.0,KOSPI,기계,2146520000000.0
763,JW생명과학,B+,B,C,B+,B+,234080.0,KOSPI,의약품,193657000000.0
764,LIG넥스원,B+,A,A,A,A,79550.0,KOSPI,기계,3489200000000.0
765,LS에코에너지,D,D,D,D,D,229640.0,KOSPI,기타금융,600248000000.0
766,SK디앤디,C,A,A,A,A,210980.0,KOSPI,서비스업,199643000000.0
767,경보제약,B,B+,B,B+,B+,214390.0,KOSPI,의약품,177867000000.0
768,금호에이치티,D,C,D,C,C,214330.0,KOSPI,운수장비,128776000000.0
769,삼일씨엔에스,C,C,D,C,C,4440.0,KOSPI,비금속광물,56084226535.0
770,동서,D,D,C,C,C,26960.0,KOSPI,유통업,1847440000000.0
771,동일제강,C,C,D,C,C,2690.0,KOSPI,철강금속,36682750520.0
772,두산밥캣,D,C,B,B,B,241560.0,KOSPI,기계,5363330000000.0
773,두올,C,C,D,C,C,16740.0,KOSPI,운수장비,117883000000.0
774,삼성바이오로직스,B,A,A,A,A,207940.0,KOSPI,의약품,57081500000000.0
775,샘표식품,B,B,D,C,C,248170.0,KOSPI,음식료품,126998000000.0
776,세진중공업,D,C,D,C,C,75580.0,KOSPI,운수장비,400789000000.0
777,다이나믹디자인,D,C,D,D,D,145210.0,KOSPI,기계,120070000000.0
778,HDC랩스,D,C,D,D,D,39570.0,KOSPI,건설업,209997000000.0
779,용평리조트,C,C,C,C,C,70960.0,KOSPI,서비스업,134292000000.0
780,이노션,D,B+,B,A,A,214320.0,KOSPI,서비스업,876000000000.0
781,일동제약,B+,B+,C,B+,B+,249420.0,KOSPI,의약품,416167000000.0
782,잇츠한불,C,B+,D,C,C,226320.0,KOSPI,화학,260520000000.0
783,제이에스코퍼레이션,D,D,D,D,D,194370.0,KOSPI,기타제조업,248976000000.0
784,제주항공,C,B,C,A,A,89590.0,KOSPI,운수창고업,874955000000.0
786,토니모리,D,D,D,D,D,214420.0,KOSPI,화학,195084000000.0
787,한국자산신탁,D,C,C,C,C,123890.0,KOSPI,기타금융,380612000000.0
788,한국토지신탁,D,D,D,D,D,34830.0,KOSPI,기타금융,254004000000.0
789,한솔제지,A,A,B+,A,A,213500.0,KOSPI,종이목재,243956000000.0
790,해성디에스,A,A,B+,A,A,195870.0,KOSPI,전기전자,802400000000.0
791,해태제과식품,D,D,D,D,D,101530.0,KOSPI,음식료품,153154000000.0
792,핸즈코퍼레이션,B,B,C,C,C,143210.0,KOSPI,운수장비,61470849070.0
793,현대코퍼레이션홀딩스,D,C,C,B,B,227840.0,KOSPI,유통업,98380037160.0
794,화승엔터프라이즈,B+,B,B,B+,B+,241590.0,KOSPI,기타제조업,553786000000.0
795,셀트리온,B,C,C,B+,B+,68270.0,KOSPI,의약품,38965500000000.0
801,카카오,C,A,A,A+,A+,35720.0,KOSPI,서비스업,21817000000000.0
806,HDC,C,B,D,B+,B+,12630.0,KOSPI,기타금융,523935000000.0
810,BGF리테일,B+,A,A,A,A,282330.0,KOSPI,유통업,2231350000000.0
812,F&F홀딩스,D,B+,B,B+,B+,7700.0,KOSPI,기타금융,574590000000.0
813,HD한국조선해양,B+,A,B+,A,A,9540.0,KOSPI,기타금융,8443230000000.0
