,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액
296,효성ITX,C,B,C,B,B+,B,B+,B,94280.0,KOSPI,서비스업,144478000000.0
297,후성,C,B,C,C,C,B,C,B,93370.0,KOSPI,화학,748212000000.0
298,휴니드,C,C,B,B,B,B,B,B,5870.0,KOSPI,전기전자,103753000000.0
299,휴스틸,B,B,B,B,B,B,B,B,5010.0,KOSPI,철강금속,251161000000.0
300,TKG휴켐스,B+,B,B,B,B,B,B,B,69260.0,KOSPI,화학,791001000000.0
301,흥국화재,C,B,B,B,B+,A+,A,B+ 이하,540.0,KOSPI,보험,260825000000.0
302,흥아해운,B,B,B,B,B,C,B,C,3280.0,KOSPI,운수창고업,688817000000.0
303,동국제강,B+,B+,B+,B+,C,C,C,B,460860.0,KOSPI,철강금속,557594000000.0
304,동남합성,C,C,C,C,C,C,C,C,23450.0,KOSPI,화학,108500000000.0
305,동방,B,C,B,C,B,B,B,C,4140.0,KOSPI,운수창고업,106497000000.0
306,동방아그로,B,B,B,B,B,B,B,C,7590.0,KOSPI,화학,85654559330.0
308,KG스틸,B+,B,C,B,B,B,B,B,16380.0,KOSPI,철강금속,696062000000.0
309,동성제약,B,B,C,C,B,C,B,C,2210.0,KOSPI,의약품,136769000000.0
310,동성케미컬,B,B,B,B,C,B,B,B,102260.0,KOSPI,서비스업,223604000000.0
312,동아쏘시오홀딩스,B+,B+,B+,B,B,B,C,C,640.0,KOSPI,기타금융,721871000000.0
313,다스코,B,B,B,B+,B,B,B+,B+,58730.0,KOSPI,기계,65852614695.0
314,동아지질,B,B,B,B,C,B,B,B,28100.0,KOSPI,건설업,172707000000.0
316,동양고속,B,B,B,B,C,B,C,B,84670.0,KOSPI,운수창고업,33588600400.0
317,TYM,B,B+,B,B,B,B,B,C,2900.0,KOSPI,기계,210388000000.0
318,동양생명,B+,B+,B+,B+,A,A+,B+,B+ 이하,82640.0,KOSPI,보험,855201000000.0
319,동양철관,C,C,C,C,C,C,C,D,8970.0,KOSPI,철강금속,83100817710.0
320,HLB글로벌,C,C,B,C,C,C,C,C,3580.0,KOSPI,광업,325019000000.0
321,동원F&B,C,B,C,C,C,C,C,D,49770.0,KOSPI,음식료품,749635000000.0
322,동원금속,C,C,C,C,B,B,B+,B+,18500.0,KOSPI,운수장비,76865109852.0
323,동원산업,C,B,B,B,B,B,B,C,6040.0,KOSPI,기타금융,1722180000000.0
324,동원수산,C,B,C,C,B,B,B,B,30720.0,KOSPI,"농업, 임업 및 어업",27690139750.0
325,동원시스템즈,C,C,C,C,C,C,C,C,14820.0,KOSPI,화학,1174150000000.0
326,DI동일,B,B,B,B,C,B,B,B,1530.0,KOSPI,유통업,675780000000.0
