,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
343,롯데손해보험,B이하,A,B+,A,A,A,A,A+,400.0,KOSPI,보험,1013250000000.0
344,롯데쇼핑,A,A+,B+,A,B이하,A,A+,A+,23530.0,KOSPI,유통업,1892520000000.0
345,롯데정밀화학,A,B+,B이하,B+,B+,A,A+,A+,4000.0,KOSPI,화학,1111980000000.0
347,롯데칠성,B이하,A,A,B+,A,A,B+,A,5300.0,KOSPI,음식료품,1183060000000.0
348,롯데케미칼,A+,A+,A,A,A+,A+,A+,A+,11170.0,KOSPI,화학,4290370000000.0
350,마니커,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,27740.0,KOSPI,음식료품,69227238520.0
351,만호제강,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1080.0,KOSPI,철강금속,195673000000.0
355,명문제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,17180.0,KOSPI,의약품,69434813430.0
356,모나리자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,12690.0,KOSPI,종이목재,114834000000.0
357,모나미,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5360.0,KOSPI,유통업,51117215435.0
359,무림P&P,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9580.0,KOSPI,종이목재,190535000000.0
360,무림페이퍼,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9200.0,KOSPI,종이목재,89251969950.0
362,미래산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25560.0,KOSPI,의료정밀,66641196300.0
363,미래아이앤지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7120.0,KOSPI,서비스업,31257497664.0
366,미원상사,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2840.0,KOSPI,화학,907725000000.0
367,미원홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,107590.0,KOSPI,기타금융,179336000000.0
368,미창석유,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3650.0,KOSPI,화학,136738000000.0
372,태경비케이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14580.0,KOSPI,비금속광물,145639000000.0
373,백산,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,35150.0,KOSPI,화학,297198000000.0
376,보락,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2760.0,KOSPI,화학,67567200000.0
377,보령,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3850.0,KOSPI,의약품,763833000000.0
380,부광약품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3000.0,KOSPI,의약품,437748000000.0
381,부국증권,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1270.0,KOSPI,증권,249914000000.0
385,부산주공,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5030.0,KOSPI,운수장비,38288532168.0
386,비상교육,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,100220.0,KOSPI,서비스업,62384356800.0
387,빙그레,B+,B+,B+,B+,B이하,B+,B+,A,5180.0,KOSPI,음식료품,682691000000.0
389,사조동아원,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8040.0,KOSPI,음식료품,136487000000.0
390,사조산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7160.0,KOSPI,"농업, 임업 및 어업",179500000000.0
393,SGC에너지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5090.0,KOSPI,전기가스업,330694000000.0
394,삼성SDI,A+,A,A,A,A,A,A+,A,6400.0,KOSPI,전기전자,28984200000000.0
396,삼성물산,A+,A,A,A,B이하,A+,A+,A+,28260.0,KOSPI,유통업,27356200000000.0
397,삼성E&A,B+,B+,A,A,A,B+,A+,A+,28050.0,KOSPI,서비스업,5154800000000.0
398,삼성전기,A+,A+,A+,A+,A,A+,A+,A+,9150.0,KOSPI,전기전자,10823100000000.0
399,삼성전자,A,A,B+,A+,B+,A+,A,A,5930.0,KOSPI,전기전자,454300000000000.0
401,삼성중공업,B이하,A+,A,A,B+,A,B이하,B이하,10140.0,KOSPI,운수장비,8342400000000.0
402,삼성증권,A,A+,B+,A,B+,B+,B+,A,16360.0,KOSPI,증권,3344290000000.0
403,삼성출판사,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,68290.0,KOSPI,서비스업,179100000000.0
404,삼성카드,B+,B+,B+,B+,B이하,B+,B이하,B이하,29780.0,KOSPI,기타금융,4373670000000.0
405,삼성화재,A,A,A,A,A,A+,A+,A+,810.0,KOSPI,보험,14236100000000.0
407,삼양식품,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,3230.0,KOSPI,음식료품,2207170000000.0
412,삼양홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,70.0,KOSPI,기타금융,586653000000.0
413,삼영무역,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2810.0,KOSPI,유통업,235269000000.0
414,삼영전자,B+,B+,B+,B이하,B이하,B이하,B이하,B이하,5680.0,KOSPI,전기전자,190400000000.0
415,삼영,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3720.0,KOSPI,화학,129880000000.0
416,삼익THK,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4380.0,KOSPI,기계,278250000000.0
417,삼익악기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2450.0,KOSPI,기타제조업,116513000000.0
