,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액
433,서연,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7860.0,KOSPI,기타금융,214136000000.0
434,서울가스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17390.0,KOSPI,전기가스업,284000000000.0
435,서울식품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4410.0,KOSPI,음식료품,64457956148.0
437,서원,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,21050.0,KOSPI,철강금속,64375544040.0
439,선도전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7610.0,KOSPI,전기전자,54000000000.0
441,SUN&L,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,2820.0,KOSPI,종이목재,32591651565.0
442,성문전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14910.0,KOSPI,전기전자,32029364610.0
444,성신양회,B이하,B+,B+,B+,B+,B+,B+,B+,4980.0,KOSPI,비금속광물,206670000000.0
446,성창기업지주,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,180.0,KOSPI,서비스업,132737000000.0
448,세방,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4360.0,KOSPI,운수창고업,224946000000.0
449,세방전지,B이하,B+,B+,B+,B+,B+,B+,B+,4490.0,KOSPI,전기전자,1303400000000.0
450,세아베스틸지주,B이하,B+,B+,B이하,B+,B+,B+,B+,1430.0,KOSPI,철강금속,747725000000.0
451,세아제강,B이하,B+,B+,B+,B+,B+,B+,B+,306200.0,KOSPI,철강금속,384886000000.0
455,세원정공,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,21820.0,KOSPI,운수장비,78200000000.0
457,에스제이지세종,B이하,B+,B이하,B이하,B이하,B이하,B+,B이하,33530.0,KOSPI,운수장비,158858000000.0
460,송원산업,B이하,B+,B+,B+,B+,B+,B+,B+,4430.0,KOSPI,화학,324000000000.0
461,수산중공업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17550.0,KOSPI,기계,124611000000.0
462,신대양제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,16590.0,KOSPI,종이목재,229698000000.0
463,신도리코,B이하,B+,B+,B이하,B+,B+,B+,B이하,29530.0,KOSPI,전기전자,373969000000.0
468,신세계,B이하,B이하,B+,B+,B+,B+,B+,B+,4170.0,KOSPI,유통업,1618550000000.0
470,신세계건설,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,34300.0,KOSPI,건설업,80709761600.0
475,신일전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2700.0,KOSPI,유통업,132362000000.0
476,신풍제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,19170.0,KOSPI,의약품,722715000000.0
477,신풍,B이하,B+,B+,B+,B+,B+,B+,B+,2870.0,KOSPI,유통업,29470184100.0
479,신한지주,A,B+,A,A,A,A+,A+,A+,55550.0,KOSPI,기타금융,22566100000000.0
483,쌍용C&E,B+,B+,B+,B+,B+,A,A,A,3410.0,KOSPI,비금속광물,3495870000000.0
484,써니전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4770.0,KOSPI,전기전자,72304681480.0
486,아남전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8700.0,KOSPI,전기전자,141987000000.0
487,아모레퍼시픽,A,A,B+,B+,B+,A,A,A,90430.0,KOSPI,화학,8288420000000.0
490,아세아,B+,B+,B+,B+,B이하,B이하,B이하,B이하,2030.0,KOSPI,서비스업,490830000000.0
491,아세아제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2310.0,KOSPI,종이목재,385577000000.0
493,아시아나항공,A,A,A,B+,A,B+,B+,B+,20560.0,KOSPI,운수창고업,798438000000.0
494,아이에스동서,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10780.0,KOSPI,비금속광물,781843000000.0
497,알루코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1780.0,KOSPI,철강금속,314699000000.0
